Date,Day,Weekend,Holiday,Exam_Week,Students_Present,Temperature_C,Item,Actual_Demand,Prepared,Sold,Waste,Waste_Percentage,Price
2024-01-09,Tuesday,False,False,False,977,32.7,Samosa,137,180,143,37,20.56,12
2024-01-09,Tuesday,False,False,False,977,32.7,Vada Pav,109,120,113,7,5.83,15
2024-01-09,Tuesday,False,False,False,977,32.7,Sandwich,85,94,82,12,12.77,40
2024-01-09,Tuesday,False,False,False,977,32.7,Tea,126,188,114,74,39.36,8
2024-01-09,Tuesday,False,False,False,977,32.7,Coffee,99,89,89,0,0.0,15
2024-01-09,Tuesday,False,False,False,977,32.7,Cold Drink,145,168,137,31,18.45,20
2024-01-09,Tuesday,False,False,False,977,32.7,Veg Puff,76,95,73,22,23.16,18
2024-01-09,Tuesday,False,False,False,977,32.7,Maggi,71,82,68,14,17.07,30
2024-01-10,Wednesday,False,False,False,1221,26.3,Samosa,138,162,133,29,17.9,12
2024-01-10,Wednesday,False,False,False,1221,26.3,Vada Pav,136,140,135,5,3.57,15
2024-01-10,Wednesday,False,False,False,1221,26.3,Sandwich,119,152,111,41,26.97,40
2024-01-10,Wednesday,False,False,False,1221,26.3,Tea,190,204,183,21,10.29,8
2024-01-10,Wednesday,False,False,False,1221,26.3,Coffee,162,196,151,45,22.96,15
2024-01-10,Wednesday,False,False,False,1221,26.3,Cold Drink,138,202,145,57,28.22,20
2024-01-10,Wednesday,False,False,False,1221,26.3,Veg Puff,90,96,95,1,1.04,18
2024-01-10,Wednesday,False,False,False,1221,26.3,Maggi,83,100,86,14,14.0,30
2024-01-11,Thursday,False,False,False,760,24.9,Samosa,62,61,61,0,0.0,12
2024-01-11,Thursday,False,False,False,760,24.9,Vada Pav,68,94,63,31,32.98,15
2024-01-11,Thursday,False,False,False,760,24.9,Sandwich,68,79,72,7,8.86,40
2024-01-11,Thursday,False,False,False,760,24.9,Tea,105,139,105,34,24.46,8
2024-01-11,Thursday,False,False,False,760,24.9,Coffee,82,99,82,17,17.17,15
2024-01-11,Thursday,False,False,False,760,24.9,Cold Drink,70,81,68,13,16.05,20
2024-01-11,Thursday,False,False,False,760,24.9,Veg Puff,64,79,69,10,12.66,18
2024-01-11,Thursday,False,False,False,760,24.9,Maggi,46,67,41,26,38.81,30
2024-01-12,Friday,False,False,False,877,26.2,Samosa,120,126,118,8,6.35,12
2024-01-12,Friday,False,False,False,877,26.2,Vada Pav,87,92,90,2,2.17,15
2024-01-12,Friday,False,False,False,877,26.2,Sandwich,85,88,88,0,0.0,40
2024-01-12,Friday,False,False,False,877,26.2,Tea,145,184,149,35,19.02,8
2024-01-12,Friday,False,False,False,877,26.2,Coffee,94,100,97,3,3.0,15
2024-01-12,Friday,False,False,False,877,26.2,Cold Drink,98,112,98,14,12.5,20
2024-01-12,Friday,False,False,False,877,26.2,Veg Puff,82,87,84,3,3.45,18
2024-01-12,Friday,False,False,False,877,26.2,Maggi,62,69,65,4,5.8,30
2024-01-13,Saturday,True,False,False,541,26.6,Samosa,66,76,68,8,10.53,12
2024-01-13,Saturday,True,False,False,541,26.6,Vada Pav,37,44,36,8,18.18,15
2024-01-13,Saturday,True,False,False,541,26.6,Sandwich,36,44,34,10,22.73,40
2024-01-13,Saturday,True,False,False,541,26.6,Tea,91,90,85,5,5.56,8
2024-01-13,Saturday,True,False,False,541,26.6,Coffee,56,71,57,14,19.72,15
2024-01-13,Saturday,True,False,False,541,26.6,Cold Drink,46,52,43,9,17.31,20
2024-01-13,Saturday,True,False,False,541,26.6,Veg Puff,32,33,33,0,0.0,18
2024-01-13,Saturday,True,False,False,541,26.6,Maggi,26,26,25,1,3.85,30
2024-01-14,Sunday,True,False,False,520,23.9,Samosa,38,45,38,7,15.56,12
2024-01-14,Sunday,True,False,False,520,23.9,Vada Pav,33,35,33,2,5.71,15
2024-01-14,Sunday,True,False,False,520,23.9,Sandwich,22,20,20,0,0.0,40
2024-01-14,Sunday,True,False,False,520,23.9,Tea,59,70,63,7,10.0,8
2024-01-14,Sunday,True,False,False,520,23.9,Coffee,55,61,54,7,11.48,15
2024-01-14,Sunday,True,False,False,520,23.9,Cold Drink,25,28,24,4,14.29,20
2024-01-14,Sunday,True,False,False,520,23.9,Veg Puff,32,32,32,0,0.0,18
2024-01-14,Sunday,True,False,False,520,23.9,Maggi,36,40,36,4,10.0,30
2024-01-15,Monday,False,False,False,1003,24.2,Samosa,136,156,136,20,12.82,12
2024-01-15,Monday,False,False,False,1003,24.2,Vada Pav,98,113,100,13,11.5,15
2024-01-15,Monday,False,False,False,1003,24.2,Sandwich,107,138,118,20,14.49,40
2024-01-15,Monday,False,False,False,1003,24.2,Tea,159,203,160,43,21.18,8
2024-01-15,Monday,False,False,False,1003,24.2,Coffee,149,153,142,11,7.19,15
2024-01-15,Monday,False,False,False,1003,24.2,Cold Drink,90,74,74,0,0.0,20
2024-01-15,Monday,False,False,False,1003,24.2,Veg Puff,77,90,78,12,13.33,18
2024-01-15,Monday,False,False,False,1003,24.2,Maggi,84,108,81,27,25.0,30
2024-01-16,Tuesday,False,False,False,765,26.0,Samosa,86,122,91,31,25.41,12
2024-01-16,Tuesday,False,False,False,765,26.0,Vada Pav,76,67,67,0,0.0,15
2024-01-16,Tuesday,False,False,False,765,26.0,Sandwich,71,94,65,29,30.85,40
2024-01-16,Tuesday,False,False,False,765,26.0,Tea,114,131,114,17,12.98,8
2024-01-16,Tuesday,False,False,False,765,26.0,Coffee,85,105,80,25,23.81,15
2024-01-16,Tuesday,False,False,False,765,26.0,Cold Drink,78,91,80,11,12.09,20
2024-01-16,Tuesday,False,False,False,765,26.0,Veg Puff,69,67,63,4,5.97,18
2024-01-16,Tuesday,False,False,False,765,26.0,Maggi,63,75,60,15,20.0,30
2024-01-17,Wednesday,False,False,False,1132,25.2,Samosa,165,191,182,9,4.71,12
2024-01-17,Wednesday,False,False,False,1132,25.2,Vada Pav,136,151,142,9,5.96,15
2024-01-17,Wednesday,False,False,False,1132,25.2,Sandwich,112,151,106,45,29.8,40
2024-01-17,Wednesday,False,False,False,1132,25.2,Tea,197,257,179,78,30.35,8
2024-01-17,Wednesday,False,False,False,1132,25.2,Coffee,124,104,104,0,0.0,15
2024-01-17,Wednesday,False,False,False,1132,25.2,Cold Drink,120,165,120,45,27.27,20
2024-01-17,Wednesday,False,False,False,1132,25.2,Veg Puff,106,99,96,3,3.03,18
2024-01-17,Wednesday,False,False,False,1132,25.2,Maggi,81,97,80,17,17.53,30
2024-01-18,Thursday,False,False,False,589,24.8,Samosa,62,77,63,14,18.18,12
2024-01-18,Thursday,False,False,False,589,24.8,Vada Pav,53,56,50,6,10.71,15
2024-01-18,Thursday,False,False,False,589,24.8,Sandwich,55,71,52,19,26.76,40
2024-01-18,Thursday,False,False,False,589,24.8,Tea,106,113,101,12,10.62,8
2024-01-18,Thursday,False,False,False,589,24.8,Coffee,71,70,69,1,1.43,15
2024-01-18,Thursday,False,False,False,589,24.8,Cold Drink,47,67,47,20,29.85,20
2024-01-18,Thursday,False,False,False,589,24.8,Veg Puff,43,50,42,8,16.0,18
2024-01-18,Thursday,False,False,False,589,24.8,Maggi,41,50,42,8,16.0,30
2024-01-19,Friday,False,False,False,820,23.8,Samosa,106,85,85,0,0.0,12
2024-01-19,Friday,False,False,False,820,23.8,Vada Pav,99,138,97,41,29.71,15
2024-01-19,Friday,False,False,False,820,23.8,Sandwich,82,98,94,4,4.08,40
2024-01-19,Friday,False,False,False,820,23.8,Tea,158,178,150,28,15.73,8
2024-01-19,Friday,False,False,False,820,23.8,Coffee,86,101,82,19,18.81,15
2024-01-19,Friday,False,False,False,820,23.8,Cold Drink,64,67,60,7,10.45,20
2024-01-19,Friday,False,False,False,820,23.8,Veg Puff,80,102,79,23,22.55,18
2024-01-19,Friday,False,False,False,820,23.8,Maggi,68,78,65,13,16.67,30
2024-01-20,Saturday,True,False,False,576,26.1,Samosa,41,45,39,6,13.33,12
2024-01-20,Saturday,True,False,False,576,26.1,Vada Pav,29,37,31,6,16.22,15
2024-01-20,Saturday,True,False,False,576,26.1,Sandwich,26,32,25,7,21.88,40
2024-01-20,Saturday,True,False,False,576,26.1,Tea,57,60,54,6,10.0,8
2024-01-20,Saturday,True,False,False,576,26.1,Coffee,48,49,48,1,2.04,15
2024-01-20,Saturday,True,False,False,576,26.1,Cold Drink,42,46,40,6,13.04,20
2024-01-20,Saturday,True,False,False,576,26.1,Veg Puff,29,36,29,7,19.44,18
2024-01-20,Saturday,True,False,False,576,26.1,Maggi,22,25,22,3,12.0,30
2024-01-21,Sunday,True,False,False,416,26.1,Samosa,30,37,28,9,24.32,12
2024-01-21,Sunday,True,False,False,416,26.1,Vada Pav,13,11,11,0,0.0,15
2024-01-21,Sunday,True,False,False,416,26.1,Sandwich,29,29,29,0,0.0,40
2024-01-21,Sunday,True,False,False,416,26.1,Tea,22,25,20,5,20.0,8
2024-01-21,Sunday,True,False,False,416,26.1,Coffee,27,31,25,6,19.35,15
2024-01-21,Sunday,True,False,False,416,26.1,Cold Drink,27,35,26,9,25.71,20
2024-01-21,Sunday,True,False,False,416,26.1,Veg Puff,30,29,29,0,0.0,18
2024-01-21,Sunday,True,False,False,416,26.1,Maggi,30,23,23,0,0.0,30
2024-01-22,Monday,False,False,False,986,24.6,Samosa,135,143,135,8,5.59,12
2024-01-22,Monday,False,False,False,986,24.6,Vada Pav,102,135,103,32,23.7,15
2024-01-22,Monday,False,False,False,986,24.6,Sandwich,95,103,92,11,10.68,40
2024-01-22,Monday,False,False,False,986,24.6,Tea,159,192,155,37,19.27,8
2024-01-22,Monday,False,False,False,986,24.6,Coffee,125,182,130,52,28.57,15
2024-01-22,Monday,False,False,False,986,24.6,Cold Drink,93,123,91,32,26.02,20
2024-01-22,Monday,False,False,False,986,24.6,Veg Puff,66,65,59,6,9.23,18
2024-01-22,Monday,False,False,False,986,24.6,Maggi,68,78,73,5,6.41,30
2024-01-23,Tuesday,False,False,False,949,24.6,Samosa,136,111,111,0,0.0,12
2024-01-23,Tuesday,False,False,False,949,24.6,Vada Pav,107,99,99,0,0.0,15
2024-01-23,Tuesday,False,False,False,949,24.6,Sandwich,92,100,94,6,6.0,40
2024-01-23,Tuesday,False,False,False,949,24.6,Tea,194,228,196,32,14.04,8
2024-01-23,Tuesday,False,False,False,949,24.6,Coffee,112,114,114,0,0.0,15
2024-01-23,Tuesday,False,False,False,949,24.6,Cold Drink,85,98,82,16,16.33,20
2024-01-23,Tuesday,False,False,False,949,24.6,Veg Puff,82,98,86,12,12.24,18
2024-01-23,Tuesday,False,False,False,949,24.6,Maggi,65,72,61,11,15.28,30
2024-01-24,Wednesday,False,False,False,833,25.8,Samosa,120,121,121,0,0.0,12
2024-01-24,Wednesday,False,False,False,833,25.8,Vada Pav,100,121,109,12,9.92,15
2024-01-24,Wednesday,False,False,False,833,25.8,Sandwich,72,69,65,4,5.8,40
2024-01-24,Wednesday,False,False,False,833,25.8,Tea,158,197,157,40,20.3,8
2024-01-24,Wednesday,False,False,False,833,25.8,Coffee,102,100,100,0,0.0,15
2024-01-24,Wednesday,False,False,False,833,25.8,Cold Drink,87,101,90,11,10.89,20
2024-01-24,Wednesday,False,False,False,833,25.8,Veg Puff,73,86,70,16,18.6,18
2024-01-24,Wednesday,False,False,False,833,25.8,Maggi,63,90,67,23,25.56,30
2024-01-25,Thursday,False,False,False,1138,24.0,Samosa,139,157,139,18,11.46,12
2024-01-25,Thursday,False,False,False,1138,24.0,Vada Pav,130,116,116,0,0.0,15
2024-01-25,Thursday,False,False,False,1138,24.0,Sandwich,106,115,100,15,13.04,40
2024-01-25,Thursday,False,False,False,1138,24.0,Tea,170,216,170,46,21.3,8
2024-01-25,Thursday,False,False,False,1138,24.0,Coffee,129,123,123,0,0.0,15
2024-01-25,Thursday,False,False,False,1138,24.0,Cold Drink,123,136,113,23,16.91,20
2024-01-25,Thursday,False,False,False,1138,24.0,Veg Puff,92,102,79,23,22.55,18
2024-01-25,Thursday,False,False,False,1138,24.0,Maggi,81,90,83,7,7.78,30
2024-01-26,Friday,False,True,False,255,27.3,Samosa,6,5,5,0,0.0,12
2024-01-26,Friday,False,True,False,255,27.3,Vada Pav,8,9,7,2,22.22,15
2024-01-26,Friday,False,True,False,255,27.3,Sandwich,8,9,7,2,22.22,40
2024-01-26,Friday,False,True,False,255,27.3,Tea,3,3,2,1,33.33,8
2024-01-26,Friday,False,True,False,255,27.3,Coffee,1,1,0,1,100.0,15
2024-01-26,Friday,False,True,False,255,27.3,Cold Drink,22,16,16,0,0.0,20
2024-01-26,Friday,False,True,False,255,27.3,Veg Puff,15,12,12,0,0.0,18
2024-01-26,Friday,False,True,False,255,27.3,Maggi,3,2,2,0,0.0,30
2024-01-27,Saturday,True,False,False,444,28.5,Samosa,52,69,53,16,23.19,12
2024-01-27,Saturday,True,False,False,444,28.5,Vada Pav,22,23,22,1,4.35,15
2024-01-27,Saturday,True,False,False,444,28.5,Sandwich,18,22,17,5,22.73,40
2024-01-27,Saturday,True,False,False,444,28.5,Tea,40,50,40,10,20.0,8
2024-01-27,Saturday,True,False,False,444,28.5,Coffee,30,39,28,11,28.21,15
2024-01-27,Saturday,True,False,False,444,28.5,Cold Drink,42,52,41,11,21.15,20
2024-01-27,Saturday,True,False,False,444,28.5,Veg Puff,28,26,26,0,0.0,18
2024-01-27,Saturday,True,False,False,444,28.5,Maggi,21,22,22,0,0.0,30
2024-01-28,Sunday,True,False,False,464,22.2,Samosa,24,29,22,7,24.14,12
2024-01-28,Sunday,True,False,False,464,22.2,Vada Pav,50,41,41,0,0.0,15
2024-01-28,Sunday,True,False,False,464,22.2,Sandwich,32,36,31,5,13.89,40
2024-01-28,Sunday,True,False,False,464,22.2,Tea,64,73,67,6,8.22,8
2024-01-28,Sunday,True,False,False,464,22.2,Coffee,44,51,43,8,15.69,15
2024-01-28,Sunday,True,False,False,464,22.2,Cold Drink,27,32,24,8,25.0,20
2024-01-28,Sunday,True,False,False,464,22.2,Veg Puff,16,20,16,4,20.0,18
2024-01-28,Sunday,True,False,False,464,22.2,Maggi,22,25,22,3,12.0,30
2024-01-29,Monday,False,False,False,819,23.4,Samosa,111,111,111,0,0.0,12
2024-01-29,Monday,False,False,False,819,23.4,Vada Pav,70,91,71,20,21.98,15
2024-01-29,Monday,False,False,False,819,23.4,Sandwich,79,102,85,17,16.67,40
2024-01-29,Monday,False,False,False,819,23.4,Tea,158,138,138,0,0.0,8
2024-01-29,Monday,False,False,False,819,23.4,Coffee,97,111,99,12,10.81,15
2024-01-29,Monday,False,False,False,819,23.4,Cold Drink,68,80,65,15,18.75,20
2024-01-29,Monday,False,False,False,819,23.4,Veg Puff,63,59,59,0,0.0,18
2024-01-29,Monday,False,False,False,819,23.4,Maggi,50,50,50,0,0.0,30
2024-01-30,Tuesday,False,False,False,757,30.3,Samosa,106,124,101,23,18.55,12
2024-01-30,Tuesday,False,False,False,757,30.3,Vada Pav,86,91,86,5,5.49,15
2024-01-30,Tuesday,False,False,False,757,30.3,Sandwich,93,105,98,7,6.67,40
2024-01-30,Tuesday,False,False,False,757,30.3,Tea,95,108,103,5,4.63,8
2024-01-30,Tuesday,False,False,False,757,30.3,Coffee,71,100,73,27,27.0,15
2024-01-30,Tuesday,False,False,False,757,30.3,Cold Drink,90,112,94,18,16.07,20
2024-01-30,Tuesday,False,False,False,757,30.3,Veg Puff,67,61,61,0,0.0,18
2024-01-30,Tuesday,False,False,False,757,30.3,Maggi,53,60,54,6,10.0,30
2024-01-31,Wednesday,False,False,False,926,22.3,Samosa,128,158,131,27,17.09,12
2024-01-31,Wednesday,False,False,False,926,22.3,Vada Pav,108,137,110,27,19.71,15
2024-01-31,Wednesday,False,False,False,926,22.3,Sandwich,86,77,77,0,0.0,40
2024-01-31,Wednesday,False,False,False,926,22.3,Tea,169,201,158,43,21.39,8
2024-01-31,Wednesday,False,False,False,926,22.3,Coffee,110,143,109,34,23.78,15
2024-01-31,Wednesday,False,False,False,926,22.3,Cold Drink,86,99,86,13,13.13,20
2024-01-31,Wednesday,False,False,False,926,22.3,Veg Puff,84,90,84,6,6.67,18
2024-01-31,Wednesday,False,False,False,926,22.3,Maggi,63,68,62,6,8.82,30
2024-02-01,Thursday,False,False,False,933,24.0,Samosa,139,141,137,4,2.84,12
2024-02-01,Thursday,False,False,False,933,24.0,Vada Pav,94,128,94,34,26.56,15
2024-02-01,Thursday,False,False,False,933,24.0,Sandwich,96,89,89,0,0.0,40
2024-02-01,Thursday,False,False,False,933,24.0,Tea,173,201,182,19,9.45,8
2024-02-01,Thursday,False,False,False,933,24.0,Coffee,111,151,123,28,18.54,15
2024-02-01,Thursday,False,False,False,933,24.0,Cold Drink,85,92,91,1,1.09,20
2024-02-01,Thursday,False,False,False,933,24.0,Veg Puff,89,95,87,8,8.42,18
2024-02-01,Thursday,False,False,False,933,24.0,Maggi,65,61,61,0,0.0,30
2024-02-02,Friday,False,False,False,749,23.5,Samosa,99,117,106,11,9.4,12
2024-02-02,Friday,False,False,False,749,23.5,Vada Pav,69,89,68,21,23.6,15
2024-02-02,Friday,False,False,False,749,23.5,Sandwich,70,87,66,21,24.14,40
2024-02-02,Friday,False,False,False,749,23.5,Tea,136,159,139,20,12.58,8
2024-02-02,Friday,False,False,False,749,23.5,Coffee,98,148,94,54,36.49,15
2024-02-02,Friday,False,False,False,749,23.5,Cold Drink,64,67,62,5,7.46,20
2024-02-02,Friday,False,False,False,749,23.5,Veg Puff,57,75,61,14,18.67,18
2024-02-02,Friday,False,False,False,749,23.5,Maggi,50,51,51,0,0.0,30
2024-02-03,Saturday,True,False,False,472,26.3,Samosa,46,42,42,0,0.0,12
2024-02-03,Saturday,True,False,False,472,26.3,Vada Pav,51,53,50,3,5.66,15
2024-02-03,Saturday,True,False,False,472,26.3,Sandwich,33,39,34,5,12.82,40
2024-02-03,Saturday,True,False,False,472,26.3,Tea,83,93,79,14,15.05,8
2024-02-03,Saturday,True,False,False,472,26.3,Coffee,23,23,22,1,4.35,15
2024-02-03,Saturday,True,False,False,472,26.3,Cold Drink,51,54,51,3,5.56,20
2024-02-03,Saturday,True,False,False,472,26.3,Veg Puff,27,35,30,5,14.29,18
2024-02-03,Saturday,True,False,False,472,26.3,Maggi,20,21,21,0,0.0,30
2024-02-04,Sunday,True,False,False,534,28.7,Samosa,56,61,57,4,6.56,12
2024-02-04,Sunday,True,False,False,534,28.7,Vada Pav,49,62,50,12,19.35,15
2024-02-04,Sunday,True,False,False,534,28.7,Sandwich,44,58,47,11,18.97,40
2024-02-04,Sunday,True,False,False,534,28.7,Tea,65,73,65,8,10.96,8
2024-02-04,Sunday,True,False,False,534,28.7,Coffee,53,54,53,1,1.85,15
2024-02-04,Sunday,True,False,False,534,28.7,Cold Drink,40,46,42,4,8.7,20
2024-02-04,Sunday,True,False,False,534,28.7,Veg Puff,32,37,29,8,21.62,18
2024-02-04,Sunday,True,False,False,534,28.7,Maggi,31,38,34,4,10.53,30
2024-02-05,Monday,False,False,False,853,25.4,Samosa,116,160,115,45,28.12,12
2024-02-05,Monday,False,False,False,853,25.4,Vada Pav,92,114,92,22,19.3,15
2024-02-05,Monday,False,False,False,853,25.4,Sandwich,76,89,80,9,10.11,40
2024-02-05,Monday,False,False,False,853,25.4,Tea,124,145,119,26,17.93,8
2024-02-05,Monday,False,False,False,853,25.4,Coffee,116,106,106,0,0.0,15
2024-02-05,Monday,False,False,False,853,25.4,Cold Drink,90,124,89,35,28.23,20
2024-02-05,Monday,False,False,False,853,25.4,Veg Puff,66,94,61,33,35.11,18
2024-02-05,Monday,False,False,False,853,25.4,Maggi,47,57,45,12,21.05,30
2024-02-06,Tuesday,False,False,False,746,26.4,Samosa,102,108,95,13,12.04,12
2024-02-06,Tuesday,False,False,False,746,26.4,Vada Pav,87,108,86,22,20.37,15
2024-02-06,Tuesday,False,False,False,746,26.4,Sandwich,86,85,79,6,7.06,40
2024-02-06,Tuesday,False,False,False,746,26.4,Tea,108,123,109,14,11.38,8
2024-02-06,Tuesday,False,False,False,746,26.4,Coffee,84,101,78,23,22.77,15
2024-02-06,Tuesday,False,False,False,746,26.4,Cold Drink,92,104,97,7,6.73,20
2024-02-06,Tuesday,False,False,False,746,26.4,Veg Puff,64,77,65,12,15.58,18
2024-02-06,Tuesday,False,False,False,746,26.4,Maggi,56,69,59,10,14.49,30
2024-02-07,Wednesday,False,False,False,929,26.4,Samosa,122,166,117,49,29.52,12
2024-02-07,Wednesday,False,False,False,929,26.4,Vada Pav,115,131,106,25,19.08,15
2024-02-07,Wednesday,False,False,False,929,26.4,Sandwich,88,92,91,1,1.09,40
2024-02-07,Wednesday,False,False,False,929,26.4,Tea,138,149,124,25,16.78,8
2024-02-07,Wednesday,False,False,False,929,26.4,Coffee,103,81,81,0,0.0,15
2024-02-07,Wednesday,False,False,False,929,26.4,Cold Drink,106,134,108,26,19.4,20
2024-02-07,Wednesday,False,False,False,929,26.4,Veg Puff,70,79,69,10,12.66,18
2024-02-07,Wednesday,False,False,False,929,26.4,Maggi,59,81,61,20,24.69,30
2024-02-08,Thursday,False,False,False,866,25.1,Samosa,117,98,98,0,0.0,12
2024-02-08,Thursday,False,False,False,866,25.1,Vada Pav,84,83,82,1,1.2,15
2024-02-08,Thursday,False,False,False,866,25.1,Sandwich,97,120,94,26,21.67,40
2024-02-08,Thursday,False,False,False,866,25.1,Tea,152,206,159,47,22.82,8
2024-02-08,Thursday,False,False,False,866,25.1,Coffee,106,111,109,2,1.8,15
2024-02-08,Thursday,False,False,False,866,25.1,Cold Drink,90,115,92,23,20.0,20
2024-02-08,Thursday,False,False,False,866,25.1,Veg Puff,80,85,85,0,0.0,18
2024-02-08,Thursday,False,False,False,866,25.1,Maggi,63,92,60,32,34.78,30
2024-02-09,Friday,False,False,False,1160,25.4,Samosa,146,157,143,14,8.92,12
2024-02-09,Friday,False,False,False,1160,25.4,Vada Pav,126,154,122,32,20.78,15
2024-02-09,Friday,False,False,False,1160,25.4,Sandwich,109,160,118,42,26.25,40
